area_name,date,success,total_search_time,total_viewpoint_planning_time,number_of_moves,total_travel_time
Fridge_Cabinet_a,2020-07-30-15-22-55,True,310.394669533,57.7349183559,7,241.941739321
wall_left_a_1,2020-07-30-16-04-00,True,47.7579066753,7.96320915222,2,36.0303206444
